Designator,Mid X,Mid Y,Rotation,Layer
SW89,372.972669,-64.009735,180.0,bottom
SW9,193.825,-21.6,180.0,bottom
SW90,392.022669,-64.009735,180.0,bottom
SW91,334.872669,-83.059735,180.0,bottom
SW92,353.922669,-83.059735,180.0,bottom
SW93,372.972669,-83.059735,180.0,bottom
SW94,392.022669,-83.059735,180.0,bottom
SW95,334.872669,-102.109735,180.0,bottom
SW96,353.922669,-102.109735,180.0,bottom
SW97,372.972669,-102.109735,180.0,bottom
SW98,392.022669,-102.109735,180.0,bottom
SW99,334.872669,-121.159735,180.0,bottom
U11,105.966,-121.0,0.0,bottom
U12,29.5,-1.5,0.0,top
U2,63.5,-6.75,270.0,top
U3,32.515794,-16.059887,0.0,top
U4,13.0,-9.75,180.0,top
U5,56.3625,-7.95,0.0,top
U6,334.140669,-17.441435,0.0,bottom
U7,330.227669,-30.932235,0.0,top
